id,eng__001,eng__002,eng__003,eng__004,eng__005,afr__001,afr__002,afr__003,afr__004,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,ssw__001,ssw__002,ssw__003,ssw__004,ssw__005,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,tsn__005,tsn__006,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,ven__001,ven__002,ven__003,tso__001,tso__002,tso__003
dsac_multi_ict_00087,postcard,,,,,poskaart,,,,incwadibuhlumpu,iposikhadi,,,iposi-khadi,,,,,liposikhadi,,,,,iposikarada,,,,posokarata,,,,,,poskarata,,,,,,poskarete,,,posikaraṱa,,,posikarata,,
dsac_multi_ict_00088,post office,,,,,poskantoor,,,,ezamaposi,eposini,,,eposini,,,,,temaposi,eposini,,,,umnyango weposo,umnyango weposi,iposi,iposo,lefaphaposo,ntloposo,poso,,,,lefapha la tša poso,poso,,,,,botsamaisi ba poso,posong,,poswoni,muhasho wa poswo,poswo,hofisi ya poso,eposweni,
dsac_multi_ict_00089,printer,,,,,drukker,,,,isikhiphambhalo sesiqoqelalwazi,iphrinta,,,isishicileli,iprinta,,,,iphrinta,,,,,isikhafulimtlolo,isikhuphimtlolo,,,segatisi,,,,,,segatiši,printhara,printha,,,,sehatisi,,,phrinthara,,,pirintara,,
dsac_multi_ict_00090,programming,,,,,programmering,programopstelling,,,ukwakha uhlelo,ukwenza uhlelo,ukuhlela,,uyilo lweeprogram zekhompyutha,ulungelelwaniso lweenkqubo zosasazo,ukhetho-nkqubo zosasazo,,,kwakha tinhlelo,kuhlela,,,,ukwakha amahlelo,ukunanekisa amahlelo,,,tlhamomananeo {khomphiutha},thulaganyonaneo,,,,,tlhamo ya mananeotirišo a khomphyutha,peakanyo ya mananeo,go phrokrema,go prokrema,,,bongodi,tlhophiso ya mananeo,,u phrogirema,,,mbumba-nongonoko,vuxaxameti,
dsac_multi_ict_00091,public broadcasting service,,,,,openbare uitsaaidiens,,,,isiteshi sokusakaza somphakathi,,,,inkonzo yosasazo yoluntu jikelele,,,,,umsakato wemmango,umsakato wesive,,,,zokurhatjhela isitjhaba,,,,tirelokgaso ya setšhaba,,,,,,tirelokgašo ya setšhaba,,,,,,tshebeletsokgaso ya setjhaba,,,tshumelo ya khasho ya tshitshavha,,,vuhaxi bya mfumo,,
dsac_multi_ict_00092,radio n.,wireless,,,,radio,,,,umsakazo,iwayilense,umbhoshongo,,unxibelelwano ngomoya,unxibelelwano ngamaz’omoya,unomathotholo,iwaylesi,irediyo,sisakati,umsakato,,,,ukurhatjha,umrhatjho,iwayilesi,isirhatjhi,tlhaeletso ka radio,radio,waelese,seyalemowa,seromamowa,setlhaeletsanokhubu,kgašokamogelo ya maphoto,seyalemoya,radio,waelese,wokithoki,radioseboledišani,selaolamaqhubu,seyalemoya,radiyo,radio,waiḽese,,rhadiyo,wayilese,xiyanimoya
dsac_multi_ict_00093,real time,,,,,intyds,reëletyd,,,ngaleso sikhathi,,,,ngoko nangoko,,,,,ngaleso sikhatsi,,,,,kwesikhathimbala,,,,nakotiragalo,tiragatsosemetsing,,,,,ya nako yeo,,,,,,nako ya nnete,,,tshifhinga tshenetsho,,,xitshama-xilunghekile,,
dsac_multi_ict_00094,reboot,,,,,herlaai,,,,-qalisa kabusha,,,,ukuqalela,ukuqalela kwakhona,ukuphinda uyilayite,,,cala kabusha,,,,,thomisaphasi,,,,tsosolosa,,,,,,thomološa tšhomišo ya khomphyutha,thomološa tšhomišo ya khompiyutha,,,,,ho bula hape,,,funga hafhu,,,sungulanakambe,,
dsac_multi_ict_00095,satellite,,,,,satelliet,,,,isiphakalwazimkhathi,isathelathi,,,isiphekepheke sonxibelelwano,,,,,sijikeletamkhatsi,isathelayithi,,,,isathelayithi,,,,sathalaete,sesupatshwantsho,setlhagisatshwantsho,,,,sathalaete,,,,,,sathalaete,,,satheḽaithi,dishi ya satheḽaithi,,sathelayiti,,
dsac_multi_ict_00096,satellite dish,dish,,,,satellietskottel,skottel,,,indishi yesiphakalwazimkhathi,indishi yesathelathi,,,idishi,,,,,indishi,,,,,isamukelimaza,isibambimaza,,,setlhagisatshwantsho,sejana sa sathalaete,sekotlolo,,,,sekotlelo sa sathalaete,diši ya sathalaete,,,,,sekotlolo sa sathalaete,,,dishi ya satheḽaithi,satheḽaithi dishi,dishi,xidikizelo xa sathelayiti,,
