id,eng__001,eng__002,eng__003,afr__001,afr__002,afr__003,zul__001,zul__002,zul__003,zul__004,xho__001,xho__002,xho__003,xho__004,xho__005,xho__006,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003
dsac_ns_nguni_00730,elastic potential energy,,,elastiesepotensiaal-energie,,,umfutho welastiki,umfutho wesihlilingi,,,erekayo,etwebekayo,,,,,emandla alokunganwebeka,,,,isireguluki,,
dsac_ns_nguni_00731,electric adj.,electrical,,elektries,,,okukagesi,,,,-yombane,,,,,,-kwagezi,,,,-kwegezi,,
dsac_ns_nguni_00732,electrical appliance,,,elektriese toestel,,,impahla kagesi,,,,isixhobo sombane,,,,,,lokusebenta ngagezi,,,,isisetjenziswa segezi,,
dsac_ns_nguni_00733,electrical cable,electric cable,,elektriese kabel,,,ikhebula likagesi,,,,intambo yombane,,,,,,ikhebuli,,,,ikheyibula yegezi,,
dsac_ns_nguni_00734,electrical charge,electric charge,,elektriese lading,,,isidonsamlilo sikagesi,ubungako bukagesi,,,inombane,amandla ombane,,,,,lokwengeta gezi,,,,izalisomlilo legezi,,
dsac_ns_nguni_00735,electrical current,,,elektriese stroom,,,umsinga kagesi,,,,umbane,,,,,,umsinga wagezi,,,,itlelezomlilo legezi,,
dsac_ns_nguni_00736,electrical energy,,,elektriese energie,,,umfutho kagesi,amandla kagesi,,,amandla ombane,,,,,,emandla agezi,,,,amandla wegezi,,
dsac_ns_nguni_00737,electrical motor,,,elektriese motor,,,imotho,,,,isiguquli-mandla ombane,isilungelelanisi,,,,,siphehlagezi,imotho,,,umtjhini wegezi,,
dsac_ns_nguni_00738,electrical switch,,,elektriese skakelaar,,,inkinibho kagesi,iswishi kagesi,,,iqhosha lombane,iswitshi yombane,,,,,iswishi,,,,iswitjhi yegezi,,
dsac_ns_nguni_00739,electrical wiring,,,elektriese bedrading,,,ukushubhela ugesi,ukufaka ugesi,ukuxhuma ugesi,,ukufakela iintambo zombane,uthungelwano lweengcingo zombane,,,,,kushubha,,,,ukutjhubhela,ukuwayera,
dsac_ns_nguni_00740,electric circuit,,,elektriese stroombaan,kring,,umzungezo kagesi,,,,isekethi enombane,,,,,,umgudvu wagezi,,,,umzombetlelezomlilo,,
dsac_ns_nguni_00741,electricity,,,elektrisiteit,,,ugesi,,,,umbane,,,,,,gezi,,,,igezi,,
dsac_ns_nguni_00742,electric lawnmower,,,elektriese grassnyer,,,isigundatshani sikagesi,,,,umatshini wombane wokucheba ingca,,,,,,umshini wekujubatjani,,,,isisikatjani segezi,,
