id,eng__001,eng__002,afr__001,afr__002,afr__003,xho__001,xho__002,xho__003,ssw__001,ssw__002,ssw__003,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,nso__001,Tshivenda__-,nso__002,sot__-,nso__003,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002,tso__003
dsac_multi_engine_00026,arris,arris edge,skerprand,snyrand,,uqoqo,umqolo,,umngcengcema,,,umqoqo,,,,mokhutlolo,,,morumontlhasehloa,,arisi,,,mutalophandi,arisi,,,mahlanganantontswo,,
dsac_multi_engine_00027,as-built drawing,,soos-gebou-tekening,soosgeboutekening,,uhlaziyoplani ngokwesakhiwo,,,lubuyeketo lwesakhiwomdvwebo,,,amatjhuguluko weplani enziwe emakhiweni,ukubuyekezwa kweplani ngokomakhiwo,,,thalo-ka-seago,,,polanephetošwa,,,,,nyolonyedzatshifhaṱo,,,,macincwa-hi-ku-akiwa,,
dsac_multi_engine_00028,ashpit,,asput,askuil,,isikhongozelithuthu,,,sikhangetelimlotsa,,,isibekelelimlotha,isikhongozelimlotha,,,bolorelo,,,bowelamolora,,,,,tshifaredzamiora,tshifaredzamilora,,,xihlengeletelankuma,,
dsac_multi_engine_00029,astragal,,astragaal,kraallys,,isivingci,isithinteli,,sihlanganisitivalo,sihlanganisiminyango,,isihlanganisiminyango,i-astragali,,,sekopanyapati,,,sekopanyamabati,,aseterakale,,,luvhembaṱhanganyi,astragala,,,xisivelankhuhlano,asitiragali,
dsac_multi_engine_00030,atrium,,atrium,binnehof,,iathriyam,isingenisikukhanya kwisakhiwo esikhulu,,ihholo lengumhubhe,,,umrhoba wamarhalasi,i-athriyamu,,,botsenasedi,atheriamo,,atheriamo,,atriamo,,sekgobagadiseyagodimo,athriamu,,,,athiriyamu,,
dsac_multi_engine_00031,attic,,solder,solderkamer,dakkamer,isololo,iathiki,igunjana eliseluphahleni,ligumbi leliseluphahleni,,,ikumba esemfulelweni,,,,athiki,,,sekgobatlasethulelo,,athiki,,sekgobatlasetlhaka,vhuralani,athiki,,,nturukwa,kamaraxinturukwa,
dsac_multi_engine_00032,autonomous vehicle {electrical engineering},,outonome voertuig,selfbestuurvoertuig,,imoto eziqhubayo,imoto ezilawulayo,,imoto letishayelako,imoto letilawulako,,isithuthi esizikhambelako,isikhwelo esizikhambelako,isikhambisi esizitjhayelako,,seijesanaga,,,sefatanagaikotlela,,,,,tshiendedziḓilangula,,,,xipandzamanangamatifambisa,,
dsac_multi_engine_00033,awning window,,sonskermvenster,weerskermvenster,,ifestile ekhabela phezulu,,,lifasitelo lelidekukako,lifasitelo leliphakamako,,ifesidere elivulekela ngehla,,,,letlhabapheforiba,,,lefaseterepenoga,,,,,fasiṱere ḽa thephuthephu,,,,fasiterepfulelahenhla,,
dsac_multi_engine_00034,axed arch,,gekapte boog,,,igophe,iatshi,,i-ashi,i-akhi,,i-atjhi enegobela,,,,seoboketlo,,,kobitena,,sekaboratena,,,tshiaramokute,,,,aka ya switina,,
dsac_multi_engine_00035,back siphonage,,terugheweling,terughewelwerking,,ubuyelomva logutyulo,,,kuncandzeka kwemanti lanekungcola,kubuyela emuva kwemanti lanekungcola,,igelezelomva lokusilapheleko,,,,kelelelomorago,,,kelelomorago,,,,,muelelakhumela,,,,nkhulukelandzhaku,,
